group,metric,model,value,format,direction,description
Problem shape,Closed final-answer pattern,Falcon 3,49.96,%,higher,"Output matches a regex for closed answer patterns like 'the answer is N', '= N.', 'therefore ... = N', 'answer: N', or 'total = N'."
Problem shape,Closed final-answer pattern,Granite 3,32.05,%,higher,"Output matches a regex for closed answer patterns like 'the answer is N', '= N.', 'therefore ... = N', 'answer: N', or 'total = N'."
Problem shape,Math-vocab density (per 100 alpha tokens),SmolLM2,1.252698668681374,f,higher,"Mean count of math-vocabulary words per 100 alphabetic tokens, averaged across outputs. Vocabulary: calculate, equation, probability, percentage, ratio, sum, product, average, divide, multiply, formula, fraction, etc."
Problem shape,Math-vocab density (per 100 alpha tokens),Qwen3,2.1315821084350484,f,higher,"Mean count of math-vocabulary words per 100 alphabetic tokens, averaged across outputs. Vocabulary: calculate, equation, probability, percentage, ratio, sum, product, average, divide, multiply, formula, fraction, etc."
Problem shape,Math-vocab density (per 100 alpha tokens),Llama 3.2,2.795995351485523,f,higher,"Mean count of math-vocabulary words per 100 alphabetic tokens, averaged across outputs. Vocabulary: calculate, equation, probability, percentage, ratio, sum, product, average, divide, multiply, formula, fraction, etc."
Problem shape,Math-vocab density (per 100 alpha tokens),Gemma 3,1.3600491946235154,f,higher,"Mean count of math-vocabulary words per 100 alphabetic tokens, averaged across outputs. Vocabulary: calculate, equation, probability, percentage, ratio, sum, product, average, divide, multiply, formula, fraction, etc."
Problem shape,Math-vocab density (per 100 alpha tokens),Falcon 3,1.7533309618102693,f,higher,"Mean count of math-vocabulary words per 100 alphabetic tokens, averaged across outputs. Vocabulary: calculate, equation, probability, percentage, ratio, sum, product, average, divide, multiply, formula, fraction, etc."
Problem shape,Math-vocab density (per 100 alpha tokens),Granite 3,1.4339081096688564,f,higher,"Mean count of math-vocabulary words per 100 alphabetic tokens, averaged across outputs. Vocabulary: calculate, equation, probability, percentage, ratio, sum, product, average, divide, multiply, formula, fraction, etc."
Source grounding,≥1 number reused from source,SmolLM2,52.96999999999999,%,higher,"Output shares at least one numeric token with the source document (thousands-commas stripped, so '1,500' matches '1500'). Proxy for whether the math is anchored in source content vs invented."
Source grounding,≥1 number reused from source,Qwen3,72.06,%,higher,"Output shares at least one numeric token with the source document (thousands-commas stripped, so '1,500' matches '1500'). Proxy for whether the math is anchored in source content vs invented."
Source grounding,≥1 number reused from source,Llama 3.2,68.52000000000001,%,higher,"Output shares at least one numeric token with the source document (thousands-commas stripped, so '1,500' matches '1500'). Proxy for whether the math is anchored in source content vs invented."
Source grounding,≥1 number reused from source,Gemma 3,67.36999999999999,%,higher,"Output shares at least one numeric token with the source document (thousands-commas stripped, so '1,500' matches '1500'). Proxy for whether the math is anchored in source content vs invented."
Source grounding,≥1 number reused from source,Falcon 3,70.16,%,higher,"Output shares at least one numeric token with the source document (thousands-commas stripped, so '1,500' matches '1500'). Proxy for whether the math is anchored in source content vs invented."
Source grounding,≥1 number reused from source,Granite 3,69.94,%,higher,"Output shares at least one numeric token with the source document (thousands-commas stripped, so '1,500' matches '1500'). Proxy for whether the math is anchored in source content vs invented."
Source grounding,Topic Jaccard with source (mean),SmolLM2,0.11989773534975492,f,higher,"Mean Jaccard similarity between content-word sets of input and output (lowercase, ≥4 chars, stopwords removed). Higher = output stays closer to source vocabulary."
Source grounding,Topic Jaccard with source (mean),Qwen3,0.09314441547587224,f,higher,"Mean Jaccard similarity between content-word sets of input and output (lowercase, ≥4 chars, stopwords removed). Higher = output stays closer to source vocabulary."
Source grounding,Topic Jaccard with source (mean),Llama 3.2,0.09360199635474097,f,higher,"Mean Jaccard similarity between content-word sets of input and output (lowercase, ≥4 chars, stopwords removed). Higher = output stays closer to source vocabulary."
Source grounding,Topic Jaccard with source (mean),Gemma 3,0.18677697439756374,f,higher,"Mean Jaccard similarity between content-word sets of input and output (lowercase, ≥4 chars, stopwords removed). Higher = output stays closer to source vocabulary."
Source grounding,Topic Jaccard with source (mean),Falcon 3,0.11388649051753869,f,higher,"Mean Jaccard similarity between content-word sets of input and output (lowercase, ≥4 chars, stopwords removed). Higher = output stays closer to source vocabulary."
Source grounding,Topic Jaccard with source (mean),Granite 3,0.12625769274416107,f,higher,"Mean Jaccard similarity between content-word sets of input and output (lowercase, ≥4 chars, stopwords removed). Higher = output stays closer to source vocabulary."
